2025-05-27 19:00:48,560 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=68.00: Cells=1902, MaxR=45.40, Pheno={'G_SPECIALIST': 1824, 'SWITCHING_GL': 50, 'L_SPECIALIST': 28}
2025-05-27 19:00:48,679 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=69.00: Cells=1937, MaxR=45.40, Pheno={'G_SPECIALIST': 1851, 'SWITCHING_GL': 54, 'L_SPECIALIST': 32}
2025-05-27 19:00:48,781 - sim.BetHedging0.5_W80_Rep2 - INFO - simulation_engine:218 - Progress: T=70.00, Cells=1965
2025-05-27 19:00:48,803 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=70.00: Cells=1967, MaxR=45.40, Pheno={'G_SPECIALIST': 1868, 'SWITCHING_GL': 60, 'L_SPECIALIST': 39}
2025-05-27 19:00:48,926 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=71.00: Cells=1994, MaxR=45.40, Pheno={'G_SPECIALIST': 1884, 'SWITCHING_GL': 66, 'L_SPECIALIST': 44}
2025-05-27 19:00:49,053 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=72.00: Cells=2023, MaxR=45.92, Pheno={'G_SPECIALIST': 1897, 'L_SPECIALIST': 53, 'SWITCHING_GL': 73}
2025-05-27 19:00:49,177 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=73.00: Cells=2045, MaxR=46.51, Pheno={'G_SPECIALIST': 1903, 'L_SPECIALIST': 60, 'SWITCHING_GL': 82}
2025-05-27 19:00:49,304 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=74.00: Cells=2068, MaxR=46.51, Pheno={'G_SPECIALIST': 1918, 'L_SPECIALIST': 70, 'SWITCHING_GL': 80}
2025-05-27 19:00:49,431 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=75.00: Cells=2079, MaxR=46.51, Pheno={'G_SPECIALIST': 1918, 'L_SPECIALIST': 80, 'SWITCHING_GL': 81}
2025-05-27 19:00:49,560 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=76.00: Cells=2093, MaxR=46.51, Pheno={'G_SPECIALIST': 1920, 'L_SPECIALIST': 95, 'SWITCHING_GL': 78}
2025-05-27 19:00:49,691 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=77.00: Cells=2107, MaxR=46.51, Pheno={'G_SPECIALIST': 1925, 'L_SPECIALIST': 102, 'SWITCHING_GL': 80}
2025-05-27 19:00:49,821 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=78.00: Cells=2126, MaxR=46.51, Pheno={'G_SPECIALIST': 1931, 'L_SPECIALIST': 117, 'SWITCHING_GL': 78}
2025-05-27 19:00:49,953 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=79.00: Cells=2143, MaxR=46.51, Pheno={'G_SPECIALIST': 1934, 'L_SPECIALIST': 133, 'SWITCHING_GL': 76}
2025-05-27 19:00:50,064 - sim.BetHedging0.5_W80_Rep2 - INFO - simulation_engine:218 - Progress: T=80.00, Cells=2156
2025-05-27 19:00:50,086 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=80.00: Cells=2159, MaxR=47.09, Pheno={'G_SPECIALIST': 1937, 'L_SPECIALIST': 146, 'SWITCHING_GL': 76}
2025-05-27 19:00:50,219 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=81.00: Cells=2172, MaxR=48.22, Pheno={'G_SPECIALIST': 1942, 'L_SPECIALIST': 159, 'SWITCHING_GL': 71}
2025-05-27 19:00:50,356 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=82.00: Cells=2185, MaxR=48.22, Pheno={'G_SPECIALIST': 1944, 'L_SPECIALIST': 173, 'SWITCHING_GL': 68}
2025-05-27 19:00:50,491 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=83.00: Cells=2198, MaxR=48.22, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 186, 'SWITCHING_GL': 67}
2025-05-27 19:00:50,629 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=84.00: Cells=2207, MaxR=48.28, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 197, 'SWITCHING_GL': 65}
2025-05-27 19:00:50,770 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=85.00: Cells=2223, MaxR=48.28, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 216, 'SWITCHING_GL': 62}
2025-05-27 19:00:50,911 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=86.00: Cells=2236, MaxR=48.28, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 232, 'SWITCHING_GL': 59}
2025-05-27 19:00:51,050 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=87.00: Cells=2251, MaxR=49.51, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 252, 'SWITCHING_GL': 54}
2025-05-27 19:00:51,191 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=88.00: Cells=2271, MaxR=49.51, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 274, 'SWITCHING_GL': 52}
2025-05-27 19:00:51,331 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=89.00: Cells=2286, MaxR=49.51, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 293, 'SWITCHING_GL': 48}
2025-05-27 19:00:51,452 - sim.BetHedging0.5_W80_Rep2 - INFO - simulation_engine:218 - Progress: T=90.00, Cells=2311
2025-05-27 19:00:51,475 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=90.00: Cells=2313, MaxR=49.96, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 324, 'SWITCHING_GL': 44}
2025-05-27 19:00:51,620 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=91.00: Cells=2336, MaxR=49.96, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 352, 'SWITCHING_GL': 39}
2025-05-27 19:00:51,765 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=92.00: Cells=2356, MaxR=49.96, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 377, 'SWITCHING_GL': 34}
2025-05-27 19:00:51,911 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=93.00: Cells=2374, MaxR=49.96, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 404, 'SWITCHING_GL': 25}
2025-05-27 19:00:52,061 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=94.00: Cells=2397, MaxR=49.96, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 435, 'SWITCHING_GL': 17}
2025-05-27 19:00:52,211 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=95.00: Cells=2419, MaxR=49.96, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 460, 'SWITCHING_GL': 14}
2025-05-27 19:00:52,363 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=96.00: Cells=2447, MaxR=49.96, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 492, 'SWITCHING_GL': 10}
2025-05-27 19:00:52,523 - sim.BetHedging0.5_W80_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=97.00: Cells=2469, MaxR=49.96, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 515, 'SWITCHING_GL': 9}
