2025-05-27 19:44:45,014 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=70.00: Cells=1936, MaxR=45.43, Pheno={'G_SPECIALIST': 1827, 'L_SPECIALIST': 54, 'SWITCHING_GL': 55}
2025-05-27 19:44:45,135 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=71.00: Cells=1950, MaxR=46.57, Pheno={'G_SPECIALIST': 1835, 'L_SPECIALIST': 61, 'SWITCHING_GL': 54}
2025-05-27 19:44:45,257 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=72.00: Cells=1974, MaxR=46.57, Pheno={'G_SPECIALIST': 1847, 'L_SPECIALIST': 69, 'SWITCHING_GL': 58}
2025-05-27 19:44:45,381 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=73.00: Cells=2006, MaxR=46.57, Pheno={'G_SPECIALIST': 1864, 'L_SPECIALIST': 76, 'SWITCHING_GL': 66}
2025-05-27 19:44:45,504 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=74.00: Cells=2025, MaxR=48.03, Pheno={'G_SPECIALIST': 1876, 'L_SPECIALIST': 83, 'SWITCHING_GL': 66}
2025-05-27 19:44:45,631 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=75.00: Cells=2050, MaxR=48.03, Pheno={'G_SPECIALIST': 1887, 'L_SPECIALIST': 95, 'SWITCHING_GL': 68}
2025-05-27 19:44:45,758 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=76.00: Cells=2065, MaxR=48.03, Pheno={'G_SPECIALIST': 1896, 'L_SPECIALIST': 99, 'SWITCHING_GL': 70}
2025-05-27 19:44:45,885 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=77.00: Cells=2087, MaxR=48.03, Pheno={'G_SPECIALIST': 1907, 'L_SPECIALIST': 108, 'SWITCHING_GL': 72}
2025-05-27 19:44:46,015 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=78.00: Cells=2106, MaxR=48.03, Pheno={'G_SPECIALIST': 1913, 'L_SPECIALIST': 125, 'SWITCHING_GL': 68}
2025-05-27 19:44:46,144 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=79.00: Cells=2120, MaxR=48.28, Pheno={'G_SPECIALIST': 1917, 'L_SPECIALIST': 136, 'SWITCHING_GL': 67}
2025-05-27 19:44:46,254 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3 - INFO - simulation_engine:218 - Progress: T=80.00, Cells=2136
2025-05-27 19:44:46,275 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=80.00: Cells=2138, MaxR=48.28, Pheno={'G_SPECIALIST': 1922, 'L_SPECIALIST': 152, 'SWITCHING_GL': 64}
2025-05-27 19:44:46,409 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=81.00: Cells=2167, MaxR=48.28, Pheno={'G_SPECIALIST': 1928, 'L_SPECIALIST': 171, 'SWITCHING_GL': 68}
2025-05-27 19:44:46,548 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=82.00: Cells=2189, MaxR=48.28, Pheno={'G_SPECIALIST': 1932, 'L_SPECIALIST': 188, 'SWITCHING_GL': 69}
2025-05-27 19:44:46,701 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=83.00: Cells=2208, MaxR=48.28, Pheno={'G_SPECIALIST': 1933, 'L_SPECIALIST': 209, 'SWITCHING_GL': 66}
2025-05-27 19:44:46,844 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=84.00: Cells=2231, MaxR=48.28, Pheno={'G_SPECIALIST': 1934, 'L_SPECIALIST': 233, 'SWITCHING_GL': 64}
2025-05-27 19:44:46,991 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=85.00: Cells=2246, MaxR=48.28, Pheno={'G_SPECIALIST': 1936, 'L_SPECIALIST': 253, 'SWITCHING_GL': 57}
2025-05-27 19:44:47,142 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=86.00: Cells=2274, MaxR=49.69, Pheno={'G_SPECIALIST': 1939, 'L_SPECIALIST': 285, 'SWITCHING_GL': 50}
2025-05-27 19:44:47,289 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=87.00: Cells=2288, MaxR=49.69, Pheno={'G_SPECIALIST': 1940, 'L_SPECIALIST': 304, 'SWITCHING_GL': 44}
2025-05-27 19:44:47,433 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=88.00: Cells=2309, MaxR=49.69, Pheno={'G_SPECIALIST': 1940, 'L_SPECIALIST': 325, 'SWITCHING_GL': 44}
2025-05-27 19:44:47,579 - sim.TraitDistinct_HighDistinct_W40_P0.5_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=89.00: Cells=2325, MaxR=49.69, Pheno={'G_SPECIALIST': 1942, 'L_SPECIALIST': 343, 'SWITCHING_GL': 40}
