2025-05-27 18:52:00,905 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=63.00: Cells=1610, MaxR=42.04, Pheno={'G_SPECIALIST': 1587, 'SWITCHING_GL': 19, 'L_SPECIALIST': 4}
2025-05-27 18:52:01,022 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=64.00: Cells=1647, MaxR=42.04, Pheno={'G_SPECIALIST': 1616, 'SWITCHING_GL': 22, 'L_SPECIALIST': 9}
2025-05-27 18:52:01,139 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=65.00: Cells=1677, MaxR=42.04, Pheno={'G_SPECIALIST': 1641, 'SWITCHING_GL': 27, 'L_SPECIALIST': 9}
2025-05-27 18:52:01,250 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=66.00: Cells=1716, MaxR=42.88, Pheno={'G_SPECIALIST': 1674, 'SWITCHING_GL': 31, 'L_SPECIALIST': 11}
2025-05-27 18:52:01,366 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=67.00: Cells=1751, MaxR=42.88, Pheno={'G_SPECIALIST': 1701, 'SWITCHING_GL': 37, 'L_SPECIALIST': 13}
2025-05-27 18:52:01,479 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=68.00: Cells=1800, MaxR=42.88, Pheno={'G_SPECIALIST': 1739, 'SWITCHING_GL': 45, 'L_SPECIALIST': 16}
2025-05-27 18:52:01,595 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=69.00: Cells=1835, MaxR=42.88, Pheno={'G_SPECIALIST': 1763, 'SWITCHING_GL': 53, 'L_SPECIALIST': 19}
2025-05-27 18:52:01,692 - sim.ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=70.00, Cells=1874
2025-05-27 18:52:01,712 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=70.00: Cells=1879, MaxR=43.71, Pheno={'G_SPECIALIST': 1796, 'SWITCHING_GL': 57, 'L_SPECIALIST': 26}
2025-05-27 18:52:01,833 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=71.00: Cells=1918, MaxR=43.71, Pheno={'G_SPECIALIST': 1824, 'SWITCHING_GL': 62, 'L_SPECIALIST': 32}
2025-05-27 18:52:01,955 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=72.00: Cells=1952, MaxR=44.19, Pheno={'G_SPECIALIST': 1849, 'SWITCHING_GL': 63, 'L_SPECIALIST': 40}
2025-05-27 18:52:02,081 - sim.ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=73.00: Cells=1980, MaxR=44.19, Pheno={'G_SPECIALIST': 1866, 'SWITCHING_GL': 62, 'L_SPECIALIST': 52}
