2025-05-27 18:42:27,585 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=85.00: Cells=2022, MaxR=45.03, Pheno={'G_SPECIALIST': 1893, 'SWITCHING_GL': 76, 'L_SPECIALIST': 53}
2025-05-27 18:42:27,716 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=86.00: Cells=2049, MaxR=45.03, Pheno={'G_SPECIALIST': 1906, 'SWITCHING_GL': 81, 'L_SPECIALIST': 62}
2025-05-27 18:42:27,847 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=87.00: Cells=2075, MaxR=45.40, Pheno={'G_SPECIALIST': 1916, 'L_SPECIALIST': 81, 'SWITCHING_GL': 78}
2025-05-27 18:42:27,977 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=88.00: Cells=2090, MaxR=46.51, Pheno={'G_SPECIALIST': 1925, 'L_SPECIALIST': 93, 'SWITCHING_GL': 72}
2025-05-27 18:42:28,109 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=89.00: Cells=2108, MaxR=46.51, Pheno={'G_SPECIALIST': 1930, 'L_SPECIALIST': 109, 'SWITCHING_GL': 69}
2025-05-27 18:42:28,222 - sim.ResponsiveLL_W10_Rep3 - INFO - simulation_engine:218 - Progress: T=90.00, Cells=2129
2025-05-27 18:42:28,244 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=90.00: Cells=2130, MaxR=48.03, Pheno={'G_SPECIALIST': 1934, 'L_SPECIALIST': 126, 'SWITCHING_GL': 70}
2025-05-27 18:42:28,385 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=91.00: Cells=2144, MaxR=48.03, Pheno={'G_SPECIALIST': 1938, 'L_SPECIALIST': 137, 'SWITCHING_GL': 69}
2025-05-27 18:42:28,539 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=92.00: Cells=2160, MaxR=48.03, Pheno={'G_SPECIALIST': 1940, 'L_SPECIALIST': 151, 'SWITCHING_GL': 69}
2025-05-27 18:42:28,689 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=93.00: Cells=2176, MaxR=48.03, Pheno={'G_SPECIALIST': 1942, 'L_SPECIALIST': 165, 'SWITCHING_GL': 69}
2025-05-27 18:42:28,831 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=94.00: Cells=2194, MaxR=48.03, Pheno={'G_SPECIALIST': 1943, 'L_SPECIALIST': 187, 'SWITCHING_GL': 64}
2025-05-27 18:42:28,972 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=95.00: Cells=2212, MaxR=48.03, Pheno={'G_SPECIALIST': 1944, 'L_SPECIALIST': 204, 'SWITCHING_GL': 64}
2025-05-27 18:42:29,109 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=96.00: Cells=2221, MaxR=48.03, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 214, 'SWITCHING_GL': 62}
2025-05-27 18:42:29,250 - sim.ResponsiveLL_W10_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=97.00: Cells=2242, MaxR=48.12, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 240, 'SWITCHING_GL': 57}
