2025-05-27 19:50:09,970 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=61.00: Cells=1678, MaxR=42.04, Pheno={'G_SPECIALIST': 1656, 'L_SPECIALIST': 4, 'SWITCHING_GL': 18}
2025-05-27 19:50:10,079 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=62.00: Cells=1729, MaxR=42.04, Pheno={'G_SPECIALIST': 1702, 'L_SPECIALIST': 4, 'SWITCHING_GL': 23}
2025-05-27 19:50:10,188 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=63.00: Cells=1769, MaxR=42.04, Pheno={'G_SPECIALIST': 1734, 'L_SPECIALIST': 5, 'SWITCHING_GL': 30}
2025-05-27 19:50:10,303 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=64.00: Cells=1814, MaxR=42.53, Pheno={'G_SPECIALIST': 1768, 'L_SPECIALIST': 8, 'SWITCHING_GL': 38}
2025-05-27 19:50:10,420 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=65.00: Cells=1858, MaxR=42.53, Pheno={'G_SPECIALIST': 1803, 'L_SPECIALIST': 9, 'SWITCHING_GL': 46}
2025-05-27 19:50:10,539 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=66.00: Cells=1891, MaxR=42.53, Pheno={'G_SPECIALIST': 1832, 'L_SPECIALIST': 13, 'SWITCHING_GL': 46}
2025-05-27 19:50:10,659 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=67.00: Cells=1927, MaxR=42.88, Pheno={'G_SPECIALIST': 1856, 'L_SPECIALIST': 18, 'SWITCHING_GL': 53}
2025-05-27 19:50:10,781 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=68.00: Cells=1957, MaxR=42.88, Pheno={'G_SPECIALIST': 1875, 'L_SPECIALIST': 23, 'SWITCHING_GL': 59}
2025-05-27 19:50:10,905 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=69.00: Cells=1990, MaxR=42.88, Pheno={'G_SPECIALIST': 1889, 'L_SPECIALIST': 30, 'SWITCHING_GL': 71}
2025-05-27 19:50:11,009 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=70.00, Cells=2014
