2025-05-27 19:42:19,683 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=53.00: Cells=1274, MaxR=41.68, Pheno={'G_SPECIALIST': 1266, 'SWITCHING_GL': 8, 'L_SPECIALIST': 0}
2025-05-27 19:42:19,766 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=54.00: Cells=1315, MaxR=41.68, Pheno={'G_SPECIALIST': 1306, 'SWITCHING_GL': 9, 'L_SPECIALIST': 0}
2025-05-27 19:42:19,853 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=55.00: Cells=1369, MaxR=41.68, Pheno={'G_SPECIALIST': 1357, 'SWITCHING_GL': 12, 'L_SPECIALIST': 0}
2025-05-27 19:42:19,941 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=56.00: Cells=1420, MaxR=41.68, Pheno={'G_SPECIALIST': 1403, 'SWITCHING_GL': 17, 'L_SPECIALIST': 0}
2025-05-27 19:42:20,034 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=57.00: Cells=1484, MaxR=41.68, Pheno={'G_SPECIALIST': 1464, 'SWITCHING_GL': 18, 'L_SPECIALIST': 2}
2025-05-27 19:42:20,131 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=58.00: Cells=1540, MaxR=42.00, Pheno={'G_SPECIALIST': 1516, 'SWITCHING_GL': 18, 'L_SPECIALIST': 6}
2025-05-27 19:42:20,231 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=59.00: Cells=1599, MaxR=42.00, Pheno={'G_SPECIALIST': 1568, 'SWITCHING_GL': 24, 'L_SPECIALIST': 7}
2025-05-27 19:42:20,315 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2 - INFO - simulation_engine:218 - Progress: T=60.00, Cells=1642
2025-05-27 19:42:20,333 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=60.00: Cells=1650, MaxR=42.00, Pheno={'G_SPECIALIST': 1614, 'SWITCHING_GL': 27, 'L_SPECIALIST': 9}
2025-05-27 19:42:20,439 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=61.00: Cells=1707, MaxR=42.67, Pheno={'G_SPECIALIST': 1666, 'SWITCHING_GL': 29, 'L_SPECIALIST': 12}
2025-05-27 19:42:20,550 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=62.00: Cells=1758, MaxR=42.67, Pheno={'G_SPECIALIST': 1710, 'SWITCHING_GL': 36, 'L_SPECIALIST': 12}
2025-05-27 19:42:20,661 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=63.00: Cells=1789, MaxR=42.67, Pheno={'G_SPECIALIST': 1737, 'SWITCHING_GL': 36, 'L_SPECIALIST': 16}
